1311 東証ETF TOPIXCore30連動型上場投資信託（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","819","834","818","832","19360","832"
"2018-01-05","835","843","834","840","2980","840"
"2018-01-09","846","850","846","846","3130","846"
"2018-01-10","850","852","848","851","1990","851"
"2018-01-11","855","855","847","851","2180","851"
"2018-01-12","853","853","844","844","5470","844"
"2018-01-15","855","855","849","849","2490","849"
"2018-01-16","850","858","849","858","3120","858"
"2018-01-17","859","859","851","855","870","855"
"2018-01-18","859","859","854","854","6870","854"
"2018-01-19","859","859","853","855","13420","855"
"2018-01-22","853","858","853","857","640","857"
"2018-01-23","857","865","856","865","58310","865"
"2018-01-24","853","864","853","855","2410","855"
"2018-01-25","855","855","850","850","1740","850"
"2018-01-26","848","854","847","847","820","847"
"2018-01-29","848","851","840","845","540","845"
"2018-01-30","837","838","830","830","720","830"
"2018-01-31","815","828","815","822","2090","822"
"2018-02-01","822","844","822","844","2640","844"
"2018-02-02","848","848","834","844","690","844"
"2018-02-05","832","832","826","831","2190","831"
"2018-02-06","826","826","753","799","14490","799"
"2018-02-07","816","826","808","808","16680","808"
"2018-02-08","810","815","804","812","2300","812"
"2018-02-09","785","802","780","791","3430","791"
"2018-02-13","793","798","785","785","1980","785"
"2018-02-14","794","794","761","779","1300","779"
"2018-02-15","781","788","781","788","3280","788"
"2018-02-16","788","795","788","793","920","793"
"2018-02-19","793","805","793","804","2000","804"
"2018-02-20","802","803","798","798","1710","798"
"2018-02-21","804","804","796","796","3060","796"
"2018-02-22","794","796","790","796","1270","796"
"2018-02-23","795","797","790","797","360","797"
"2018-02-26","808","808","804","807","390","807"
"2018-02-27","808","818","808","817","1260","817"
"2018-02-28","797","816","797","803","940","803"
"2018-03-01","792","794","789","794","7820","794"
"2018-03-02","794","798","770","787","12980","787"
"2018-03-05","767","772","763","771","8800","771"
"2018-03-06","786","786","774","774","1690","774"
"2018-03-07","789","789","770","775","4080","775"
"2018-03-08","780","780","770","770","350","770"
"2018-03-09","779","785","774","774","4500","774"
"2018-03-12","785","791","782","787","1820","787"
"2018-03-13","792","792","785","789","1250","789"
"2018-03-14","783","788","783","787","600","787"
"2018-03-15","788","788","785","788","260","788"
"2018-03-16","784","786","782","782","1610","782"
"2018-03-19","781","781","775","778","2440","778"
"2018-03-20","780","780","770","776","4570","776"
"2018-03-22","773","776","772","776","280","776"
"2018-03-23","776","776","752","754","4360","754"
"2018-03-26","748","754","745","754","5490","754"
"2018-03-27","755","770","755","767","1240","767"
"2018-03-28","775","775","755","773","6290","773"
"2018-03-29","775","779","766","766","580","766"
"2018-03-30","770","778","770","775","740","775"
"2018-04-02","768","777","768","772","260","772"
"2018-04-03","780","780","761","764","4920","764"
"2018-04-04","765","768","763","764","550","764"
"2018-04-05","774","779","768","774","2150","774"
"2018-04-06","774","776","767","767","3560","767"
"2018-04-09","761","773","761","770","1810","770"
"2018-04-10","764","780","764","780","6080","780"
"2018-04-11","783","784","778","778","1670","778"
"2018-04-12","771","778","771","775","2150","775"
"2018-04-13","776","785","776","783","930","783"
"2018-04-16","780","782","779","780","360","780"
"2018-04-17","780","781","778","779","120","779"
"2018-04-18","781","785","781","785","980","785"
"2018-04-19","785","789","785","786","560","786"
"2018-04-20","786","787","776","787","320","787"
"2018-04-23","787","790","786","786","780","786"
"2018-04-24","799","799","791","798","1570","798"
"2018-04-25","786","795","786","795","2320","795"
"2018-04-26","794","799","794","797","1720","797"
"2018-04-27","794","798","794","798","3850","798"
"2018-05-01","783","795","783","793","6080","793"
"2018-05-02","797","797","792","794","690","794"
"2018-05-07","796","796","790","794","610","794"
"2018-05-08","793","798","793","795","920","795"
"2018-05-09","795","795","792","794","1250","794"
"2018-05-10","797","800","796","797","1140","797"
"2018-05-11","793","808","793","806","1420","806"
"2018-05-14","806","816","806","816","9810","816"
"2018-05-15","814","815","813","813","590","813"
"2018-05-16","806","810","806","810","250","810"
"2018-05-17","807","813","807","812","1150","812"
"2018-05-18","817","817","811","813","690","813"
"2018-05-21","812","815","812","813","350","813"
"2018-05-22","810","812","808","809","1160","809"
"2018-05-23","810","810","801","805","310","805"
"2018-05-24","799","799","789","789","2030","789"
"2018-05-25","784","787","784","786","21090","786"
"2018-05-28","787","787","782","786","10110","786"
"2018-05-29","785","785","779","781","400","781"
"2018-05-30","774","774","768","770","1130","770"
"2018-05-31","769","779","769","775","1490","775"
"2018-06-01","773","782","773","780","500","780"
"2018-06-04","782","790","782","789","1040","789"
"2018-06-05","790","790","790","790","280","790"
"2018-06-06","790","795","790","792","1010","792"
"2018-06-07","796","802","796","799","1460","799"
"2018-06-08","794","800","794","795","2710","795"
"2018-06-11","797","802","795","798","1120","798"
"2018-06-12","799","804","799","802","43620","802"
"2018-06-13","801","802","801","802","690","802"
"2018-06-14","799","802","794","796","34630","796"
"2018-06-15","802","804","796","796","550","796"
"2018-06-18","793","793","791","791","660","791"
"2018-06-19","788","792","780","780","2900","780"
"2018-06-20","780","785","777","784","900","784"
"2018-06-21","786","786","784","786","320","786"
"2018-06-22","785","785","775","779","1980","779"
"2018-06-25","780","780","773","773","1280","773"
"2018-06-26","773","775","768","775","760","775"
"2018-06-27","772","775","771","772","5520","772"
"2018-06-28","770","776","767","776","2470","776"
"2018-06-29","775","775","773","774","880","774"
"2018-07-02","774","776","763","763","5360","763"
"2018-07-03","765","765","758","761","10040","761"
"2018-07-04","761","762","761","761","990","761"
"2018-07-05","763","763","753","755","9750","755"
"2018-07-06","762","764","761","762","2340","762"
"2018-07-09","762","773","762","773","320","773"
"2018-07-10","780","783","778","778","2500","778"
"2018-07-11","762","762","752","758","13500","758"
"2018-07-12","761","766","760","766","770","766"
"2018-07-13","771","773","766","773","2500","773"
"2018-07-17","770","780","770","777","1270","777"
"2018-07-18","785","785","778","778","1060","778"
"2018-07-19","781","782","777","777","1470","777"
"2018-07-20","778","782","775","777","1530","777"
"2018-07-23","773","778","773","775","1310","775"
"2018-07-24","776","779","776","777","590","777"
"2018-07-25","777","782","777","780","340","780"
"2018-07-26","785","785","782","782","3030","782"
"2018-07-27","783","789","783","787","1370","787"
"2018-07-30","787","787","784","787","300","787"
"2018-07-31","785","788","780","781","480","781"
"2018-08-01","787","790","785","790","1640","790"
"2018-08-02","790","791","782","782","1470","782"
"2018-08-03","780","786","779","779","570","779"
"2018-08-06","778","781","777","777","880","777"
"2018-08-07","777","783","777","783","510","783"
"2018-08-08","783","790","783","788","4610","788"
"2018-08-09","784","787","784","785","650","785"
"2018-08-10","784","784","778","778","460","778"
"2018-08-13","777","777","758","762","4720","762"
"2018-08-14","759","771","759","771","650","771"
"2018-08-15","774","774","766","766","2020","766"
"2018-08-16","767","767","753","762","500","762"
"2018-08-17","770","770","766","767","90","767"
"2018-08-20","768","768","764","766","710","766"
"2018-08-21","763","764","760","760","2600","760"
"2018-08-22","760","765","756","761","320","761"
"2018-08-23","764","764","759","760","590","760"
"2018-08-24","764","764","762","762","580","762"
"2018-08-27","769","774","769","774","2200","774"
"2018-08-28","775","780","775","778","790","778"
"2018-08-29","778","783","778","783","1460","783"
"2018-08-30","785","785","775","776","1680","776"
"2018-08-31","772","774","772","774","350","774"
"2018-09-03","772","772","768","768","170","768"
"2018-09-04","770","770","764","764","3150","764"
"2018-09-05","764","764","756","760","1010","760"
"2018-09-06","755","756","753","756","4380","756"
"2018-09-07","754","754","747","749","6800","749"
"2018-09-10","748","755","748","755","350","755"
"2018-09-11","755","759","755","757","350","757"
"2018-09-12","761","767","761","761","800","761"
"2018-09-13","760","771","760","770","10370","770"
"2018-09-14","768","776","768","776","1160","776"
"2018-09-18","773","788","773","787","4930","787"
"2018-09-19","787","803","787","798","7270","798"
"2018-09-20","800","803","799","799","4410","799"
"2018-09-21","801","807","801","807","74210","807"
"2018-09-25","804","811","804","811","5990","811"
"2018-09-26","817","818","811","816","7330","816"
"2018-09-27","816","818","808","808","2610","808"
"2018-09-28","815","822","815","817","5480","817"
"2018-10-01","817","820","816","818","1690","818"
"2018-10-02","823","827","820","822","5350","822"
"2018-10-03","818","818","806","806","3360","806"
"2018-10-04","807","819","807","813","3690","813"
"2018-10-05","805","813","805","808","22840","808"
"2018-10-09","801","801","794","795","3790","795"
"2018-10-10","795","797","790","794","1210","794"
"2018-10-11","785","785","760","766","8540","766"
"2018-10-12","760","764","759","764","4670","764"
"2018-10-15","764","764","750","750","4070","750"
"2018-10-16","753","759","753","759","1510","759"
"2018-10-17","774","774","768","770","2630","770"
"2018-10-18","780","780","767","769","2060","769"
"2018-10-19","757","762","755","761","2680","761"
"2018-10-22","761","764","755","760","1430","760"
"2018-10-23","755","757","745","745","6200","745"
"2018-10-24","746","749","741","746","2610","746"
"2018-10-25","740","740","723","723","11430","723"
"2018-10-26","730","731","720","724","3040","724"
"2018-10-29","732","733","724","724","1630","724"
"2018-10-30","724","736","724","731","3340","731"
"2018-10-31","735","748","735","748","2460","748"
"2018-11-01","745","745","735","735","2000","735"
"2018-11-02","739","750","736","747","2280","747"
"2018-11-05","740","743","738","738","3430","738"
"2018-11-06","737","749","737","747","2050","747"
"2018-11-07","754","758","747","747","1150","747"
"2018-11-08","758","761","758","759","940","759"
"2018-11-09","758","759","752","752","2650","752"
"2018-11-12","748","754","748","751","3740","751"
"2018-11-13","737","739","729","738","3080","738"
"2018-11-14","743","743","738","740","1750","740"
"2018-11-15","742","742","735","737","1540","737"
"2018-11-16","737","737","733","733","1520","733"
"2018-11-19","731","735","731","733","1210","733"
"2018-11-20","734","734","729","732","1320","732"
"2018-11-21","728","731","721","731","4010","731"
"2018-11-22","728","733","726","733","420","733"
"2018-11-26","733","733","730","732","670","732"
"2018-11-27","736","738","736","738","40","738"
"2018-11-28","737","744","737","744","2260","744"
"2018-11-29","745","751","745","749","990","749"
"2018-11-30","746","750","746","749","3460","749"
"2018-12-03","752","764","752","758","2960","758"
"2018-12-04","760","760","742","742","950","742"
"2018-12-05","730","742","730","737","930","737"
"2018-12-06","737","737","725","728","1540","728"
"2018-12-07","728","733","728","732","340","732"
"2018-12-10","727","727","716","718","3010","718"
"2018-12-11","723","723","715","717","2060","717"
"2018-12-12","719","750","719","727","1470","727"
