1312 東証ETF 小型コア･インデックス連動型上場投資信託（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","22970","23390","22970","23120","42","23120"
"2018-01-05","23490","23490","23240","23240","24","23240"
"2018-01-09","23450","23600","23380","23600","13","23600"
"2018-01-11","23600","23600","23600","23600","2","23600"
"2018-01-12","23600","23630","23600","23630","8","23630"
"2018-01-15","23630","23690","23630","23650","64","23650"
"2018-01-18","23780","23780","23500","23530","90","23530"
"2018-01-19","23260","23490","23260","23490","5","23490"
"2018-01-23","23340","23490","23340","23490","152","23490"
"2018-01-24","23780","23800","23430","23430","256","23430"
"2018-01-25","23630","23630","23570","23570","23","23570"
"2018-01-26","23630","23630","23620","23620","3","23620"
"2018-01-29","23680","23780","23660","23680","66","23680"
"2018-01-30","23320","23430","23250","23250","33","23250"
"2018-02-01","23390","23390","23390","23390","40","23390"
"2018-02-02","23590","23600","23540","23600","23","23600"
"2018-02-05","22600","23220","22600","23080","170","23080"
"2018-02-06","21360","21890","21360","21550","270","21550"
"2018-02-07","23050","23050","22250","22250","255","22250"
"2018-02-08","22050","22050","22050","22050","24","22050"
"2018-02-09","21000","21690","21000","21690","125","21690"
"2018-02-13","21900","21900","21250","21250","72","21250"
"2018-02-14","21250","21250","21250","21250","3","21250"
"2018-02-19","21720","22100","21720","22100","42","22100"
"2018-02-20","21990","21990","21990","21990","10","21990"
"2018-02-21","22010","22500","22010","22130","16","22130"
"2018-02-22","22090","22090","22090","22090","6","22090"
"2018-02-23","22220","22230","21980","22230","110","22230"
"2018-02-28","22200","22640","22200","22610","63","22610"
"2018-03-01","22200","22200","22100","22100","7","22100"
"2018-03-02","21670","21780","21650","21780","73","21780"
"2018-03-05","21630","21700","21460","21460","525","21460"
"2018-03-06","21830","21830","21650","21650","7","21650"
"2018-03-07","21450","21780","21450","21780","31","21780"
"2018-03-12","22170","22170","21770","21770","101","21770"
"2018-03-14","22220","22240","22220","22240","60","22240"
"2018-03-15","22210","22210","21950","21950","144","21950"
"2018-03-16","22290","22290","21860","21860","15","21860"
"2018-03-19","21800","21800","21800","21800","2","21800"
"2018-03-20","21730","21730","21700","21700","6","21700"
"2018-03-22","21640","21640","21640","21640","2","21640"
"2018-03-23","21500","21510","21160","21160","17","21160"
"2018-03-26","21090","21090","20590","20960","22","20960"
"2018-03-30","21820","22180","21820","21860","7","21860"
"2018-04-02","22360","22400","22220","22220","210","22220"
"2018-04-03","21850","22010","21850","22010","4","22010"
"2018-04-04","21850","21870","21850","21870","2","21870"
"2018-04-06","22040","22420","22000","22370","1415","22370"
"2018-04-10","22010","22010","22010","22010","7","22010"
"2018-04-11","22010","22010","22010","22010","2","22010"
