1319 東証ETF 日経300株価指数連動型上場投資信託（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","360","360","354","354","7000","354"
"2018-01-05","362","363","355","355","10000","355"
"2018-01-09","359","360","359","360","3000","360"
"2018-01-10","359","359","359","359","1000","359"
"2018-01-11","359","364","357","364","4000","364"
"2018-01-12","364","364","360","360","3000","360"
"2018-01-15","357","359","355","355","7000","355"
"2018-01-16","355","357","353","357","6000","357"
"2018-01-17","353","357","353","357","3000","357"
"2018-01-18","360","360","358","358","3000","358"
"2018-01-19","360","367","360","367","12000","367"
"2018-01-22","367","367","367","367","1000","367"
"2018-01-23","363","365","363","365","2000","365"
"2018-01-24","361","361","361","361","1000","361"
"2018-01-25","360","360","360","360","1000","360"
"2018-01-29","358","358","358","358","1000","358"
"2018-01-30","355","360","355","360","10000","360"
"2018-01-31","357","357","350","352","8000","352"
"2018-02-01","360","360","360","360","2000","360"
"2018-02-02","359","363","356","363","4000","363"
"2018-02-05","352","352","352","352","1000","352"
"2018-02-06","342","342","326","334","26000","334"
"2018-02-07","358","358","349","357","25000","357"
"2018-02-09","333","333","333","333","1000","333"
"2018-02-13","330","336","330","336","5000","336"
"2018-02-15","329","332","329","331","5000","331"
"2018-02-16","332","332","332","332","1000","332"
"2018-02-19","337","337","337","337","1000","337"
"2018-02-20","335","339","335","339","2000","339"
"2018-02-21","334","336","334","336","2000","336"
"2018-02-22","331","339","331","339","2000","339"
"2018-02-26","343","343","343","343","1000","343"
"2018-03-01","335","339","335","339","5000","339"
"2018-03-02","339","339","331","332","7000","332"
"2018-03-05","328","328","328","328","2000","328"
"2018-03-06","329","329","329","329","1000","329"
"2018-03-08","329","330","327","327","7000","327"
"2018-03-12","326","326","325","325","4000","325"
"2018-03-14","326","329","325","329","15000","329"
"2018-03-15","328","328","328","328","1000","328"
"2018-03-16","324","324","324","324","1000","324"
"2018-03-19","327","327","327","327","2000","327"
"2018-03-20","327","327","327","327","1000","327"
"2018-03-26","322","322","319","319","10000","319"
"2018-03-27","327","327","325","325","12000","325"
"2018-03-28","327","328","327","328","15000","328"
"2018-03-30","330","332","330","332","11000","332"
"2018-04-03","340","340","336","336","3000","336"
"2018-04-04","332","332","332","332","1000","332"
"2018-04-12","333","333","332","332","3000","332"
"2018-04-17","326","333","326","332","12000","332"
"2018-04-18","335","335","335","335","1000","335"
"2018-04-19","338","339","338","339","12000","339"
"2018-04-23","333","333","333","333","1000","333"
"2018-04-26","337","337","337","337","1000","337"
"2018-04-27","332","332","332","332","5000","332"
"2018-05-01","335","342","335","342","10000","342"
"2018-05-02","343","343","340","341","4000","341"
"2018-05-07","344","344","340","340","5000","340"
"2018-05-10","346","346","346","346","1000","346"
"2018-05-11","348","350","346","347","62000","347"
"2018-05-14","342","342","342","342","2000","342"
"2018-05-16","348","350","348","350","13000","350"
"2018-05-17","353","353","349","349","34000","349"
"2018-05-18","353","355","349","351","9000","351"
"2018-05-21","352","353","351","353","7000","353"
"2018-05-23","349","349","349","349","4000","349"
"2018-05-24","345","346","344","346","6000","346"
"2018-05-30","338","338","338","338","10000","338"
"2018-05-31","343","343","343","343","1000","343"
"2018-06-04","346","347","342","347","8000","347"
"2018-06-05","344","344","343","343","2000","343"
"2018-06-06","346","348","346","348","5000","348"
"2018-06-08","346","348","346","347","15000","347"
"2018-06-11","346","348","346","348","2000","348"
"2018-06-13","348","350","348","348","34000","348"
"2018-06-15","347","347","347","347","1000","347"
"2018-06-18","346","346","342","342","12000","342"
"2018-06-19","344","345","342","345","3000","345"
"2018-06-20","339","342","339","342","4000","342"
"2018-06-22","338","338","338","338","1000","338"
"2018-06-26","336","336","336","336","1000","336"
"2018-06-28","335","337","335","337","6000","337"
"2018-06-29","336","336","336","336","10000","336"
"2018-07-02","334","334","332","332","3000","332"
"2018-07-03","335","335","332","332","3000","332"
"2018-07-04","330","330","330","330","1000","330"
"2018-07-05","332","332","326","329","3000","329"
"2018-07-06","325","325","325","325","1000","325"
"2018-07-09","329","329","329","329","1000","329"
"2018-07-10","332","332","332","332","3000","332"
"2018-07-12","332","334","332","334","6000","334"
"2018-07-13","334","337","334","336","4000","336"
"2018-07-17","336","341","335","341","9000","341"
"2018-07-18","344","344","341","341","4000","341"
"2018-07-19","341","342","339","342","17000","342"
"2018-07-20","342","342","339","339","2000","339"
"2018-07-23","339","339","339","339","1000","339"
"2018-07-26","342","342","342","342","6000","342"
"2018-08-01","343","343","343","343","1000","343"
"2018-08-02","345","345","342","342","4000","342"
"2018-08-03","340","340","340","340","1000","340"
"2018-08-08","340","340","340","340","5000","340"
"2018-08-10","337","337","335","335","6000","335"
"2018-08-13","343","343","329","329","9000","329"
"2018-08-14","331","332","331","332","4000","332"
"2018-08-15","331","332","330","332","17000","332"
"2018-08-16","329","329","329","329","2000","329"
"2018-08-17","331","331","331","331","2000","331"
"2018-08-20","338","338","338","338","1000","338"
"2018-08-21","330","331","325","329","7000","329"
"2018-08-23","331","331","331","331","1000","331"
"2018-08-24","332","332","332","332","1000","332"
"2018-08-28","337","337","337","337","9000","337"
"2018-08-29","338","338","338","338","1000","338"
"2018-09-04","340","340","334","334","4000","334"
"2018-09-05","333","333","332","332","11000","332"
"2018-09-06","331","331","331","331","3000","331"
"2018-09-07","331","331","328","328","6000","328"
"2018-09-10","327","328","326","326","3000","326"
"2018-09-12","332","332","332","332","2000","332"
"2018-09-13","334","334","331","331","3000","331"
"2018-09-18","335","340","335","340","7000","340"
"2018-09-19","344","346","344","344","6000","344"
"2018-09-20","344","344","344","344","2000","344"
"2018-09-21","346","347","343","343","8000","343"
"2018-09-25","346","350","343","343","25000","343"
"2018-09-26","347","347","347","347","1000","347"
"2018-09-27","346","350","346","349","7000","349"
"2018-09-28","352","352","349","350","21000","350"
"2018-10-01","349","349","349","349","2000","349"
"2018-10-02","355","355","352","352","3000","352"
"2018-10-03","350","350","350","350","1000","350"
"2018-10-11","333","333","333","333","2000","333"
"2018-10-12","330","330","330","330","2000","330"
"2018-10-15","331","331","320","322","12000","322"
"2018-10-16","323","326","323","326","4000","326"
"2018-10-17","329","329","329","329","1000","329"
"2018-10-18","330","330","330","330","1000","330"
"2018-10-19","322","326","322","326","3000","326"
"2018-10-22","322","326","322","326","5000","326"
"2018-10-23","325","329","325","329","52000","329"
"2018-10-25","321","323","321","323","3000","323"
"2018-10-26","328","328","328","328","1000","328"
"2018-10-30","320","320","320","320","4000","320"
"2018-10-31","321","321","321","321","1000","321"
"2018-11-01","322","322","322","322","1000","322"
"2018-11-02","326","333","326","333","4000","333"
"2018-11-05","327","327","321","321","4000","321"
"2018-11-06","326","326","326","326","2000","326"
"2018-11-08","323","323","323","323","4000","323"
"2018-11-12","322","322","322","322","2000","322"
"2018-11-13","320","320","320","320","3000","320"
"2018-11-15","322","322","314","318","7000","318"
"2018-11-19","318","318","318","318","2000","318"
"2018-11-20","318","318","318","318","1000","318"
"2018-11-22","315","315","315","315","5000","315"
"2018-11-26","315","318","315","318","4000","318"
"2018-11-27","319","319","319","319","1000","319"
"2018-11-29","322","324","322","322","6000","322"
"2018-11-30","320","322","320","322","3000","322"
"2018-12-03","325","328","325","328","8000","328"
"2018-12-04","328","328","321","321","5000","321"
"2018-12-05","317","317","316","316","4000","316"
"2018-12-06","314","314","314","314","1000","314"
"2018-12-07","314","314","312","312","2000","312"
"2018-12-10","307","312","307","312","3000","312"
"2018-12-11","308","308","308","308","2000","308"
"2018-12-12","310","310","310","310","1000","310"
